SampleID	Bulk_dens	Mois_cont	N_percent	C_percent	Low_final_k	Low_r2	Vmax	High_final_k	High_r2	Site	Experiment	Description	Land_type	Wetland	WFPS	Sample_names	pmoa_copy_num	pmoa_transcript_num	RNA_troph_rel_abun	DNA_troph_rel_abun	DNA_troph_rich	DNA_troph_shan	DNA_troph_even	RNA_troph_rich	RNA_troph_shan	RNA_troph_even	PC1_dna	PC2_dna	PC3_dna	PC1_rna	PC2_rna	PC3_rna	PC1_16S_dna	PC2_16S_dna	PC3_16S_dna	PC1_16S_rna	PC2_16S_rna	PC3_16S_rna
2R2MO	0.465475798	48.07317693	0.316870036	3.992286377	-1.958031538	0.996851895	-0.439691748	-9.177088626	0.999866498	2R	MO	Wetland_outside_plot	Mineral_soil_wetland	Wetland	0.271449435	2R2MO	49.31515786	0.180631491	NA	0.006157143	18	2.689597426	0.930536848	NA	NA	NA	-0.768370764	-0.848776123	8.919951725	NA	NA	NA	5.661550098	22.58040078	1.460428195	NA	NA	NA
2R3MO	0.689003982	44.03002196	0.237926763	3.298786566	-2.957575164	0.997919524	-0.255970237	-3.014734503	0.998543442	2R	MO	Wetland_outside_plot	Mineral_soil_wetland	Wetland	0.409958406	2R3MO	45.2931407	3.97673667	0.006003571	0.007178571	15	2.490727981	0.91974956	11	2.08587506	0.869877465	0.554993202	-0.887998274	7.767631269	0.760419319	0.635477684	5.629753881	5.890962799	31.18405997	1.528379024	8.939505956	4.856362863	30.8728965
3G1MO	0.061034749	90.8447223	1.298947953	48.46428572	-0.680737263	0.994309688	-0.529662142	-11.20737944	0.999298924	3G	MO	Peatland	Open_peatland	Wetland	0.057719691	3G1MO	16.8944153	0.078374668	0.010507143	0.022914286	14	1.883771626	0.713804738	12	2.0534755	0.826379333	0.844650753	-1.334490403	-8.292289643	2.182552911	0.183256137	-13.12943366	7.058379455	15.13624162	18.68352826	12.14855606	-2.63546256	24.49853942
3G2MO	0.098785121	89.07444479	2.069013882	42.79303681	-1.58367826	0.836946956	-0.103485378	-1.232469693	0.98041241	3G	MO	Peatland	Open_peatland	Wetland	0.09398199	3G2MO	15.76621446	NA	NA	0.026757143	15	1.764068597	0.651416505	NA	NA	NA	0.953776162	-1.65971709	-11.18471573	NA	NA	NA	6.320824503	14.04566493	14.52235136	NA	NA	NA
3G3MO	0.099319288	87.7644773	2.275939746	46.73745151	-1.452278509	0.843093741	-0.14016411	-2.075569319	0.989899453	3G	MO	Peatland	Open_peatland	Wetland	0.093134852	3G3MO	21.40204183	NA	NA	0.023803571	14	1.835966551	0.695690287	NA	NA	NA	0.815962734	-1.336180647	-8.005196136	NA	NA	NA	6.298653108	14.77510301	14.58378536	NA	NA	NA
3R1MO	0.491014999	19.77006208	0.291386379	4.376899023	-0.725034817	0.982792108	-0.068208143	-0.412827755	0.994168599	3R	MO	Seasonally_wet_forest	Seasonally_wet_forest	Wetland	0.11915137	3R1MO	11.62414153	NA	NA	0.005096429	7	1.817385741	0.93395152	NA	NA	NA	0.423519213	-0.781551356	-0.4056048	NA	NA	NA	5.045023657	7.195459496	3.033166845	NA	NA	NA
3R2MO	0.804456933	26.83802594	0.163105514	2.136126182	-0.767346274	0.997282457	-0.059088447	-0.32289169	0.963152146	3R	MO	Seasonally_wet_forest	Seasonally_wet_forest	Wetland	0.310009539	3R2MO	5.64142369	0.118537636	0.001267857	0.004110714	4	1.305251443	0.941539892	3	0.911785538	0.829942963	0.343034535	-0.590545876	-0.836621461	1.304657314	0.077280428	-0.405464939	6.53122612	13.54219315	3.729490619	11.14251311	-2.1220995	15.14542519
3R3MO	0.562532221	22.07200588	0.310455591	4.158001196	-2.176277821	0.852879965	-0.233210828	-1.72387289	0.999713306	3R	MO	Seasonally_wet_forest	Seasonally_wet_forest	Wetland	0.157621443	3R3MO	11.85108108	0.198858754	0.001189286	0.007885714	4	1.116802153	0.805602464	3	0.911107295	0.8293256	0.360599958	-0.642208086	-0.26873336	1.227982695	0.075248829	-0.187601135	6.101175715	5.58659104	-0.626560837	13.09786203	-3.935434487	8.721643195
4G1MO	0.094915032	75.10535437	1.78230619	47.74701814	-2.251546943	0.951667661	-0.664522238	-7.033076111	0.999800135	4G	MO	Peat_forest	Forested_peatland	Wetland	0.075936267	4G1MO	59.22601855	0.40240687	0.005896429	0.004457143	6	1.483290539	0.827840212	6	1.463434828	0.816758529	0.542591805	0.000809163	0.658608733	1.155553186	-0.103530437	0.955987797	4.757437839	9.855043993	7.302861387	7.882911016	-1.897165311	14.07143691
4G2MO	0.156777466	69.27605502	1.66863614	51.89598291	-1.791529672	0.904763849	-0.048707102	-0.158885268	0.977178329	4G	MO	Peat_forest	Forested_peatland	Wetland	0.120830896	4G2MO	19.51970252	0.534585093	0.002053571	0.005185714	18	2.643006709	0.914417566	3	0.774996247	0.705431984	6.993834591	23.93041186	-0.440849192	1.301243846	0.077687603	0.221956742	5.212295254	11.76059752	9.147960078	7.028193931	-1.453987317	12.20712922
4G3MO	0.103653115	79.82294294	1.51991413	50.2047462	-2.459813312	0.972341628	-0.4016041	-4.37202332	0.999620086	4G	MO	Peat_forest	Forested_peatland	Wetland	0.088668493	4G3MO	37.80569973	NA	0.001839286	0.007667857	12	2.239274879	0.901150504	4	1.075522529	0.775825509	0.963882953	0.998707165	0.556075003	1.364144447	0.082508096	0.225608652	5.603238657	14.08224005	10.54546376	8.505163836	-1.892857248	16.45243131
4R1MO	0.996255111	30.40118243	0.108737926	1.276248406	-0.799737606	0.988176763	-0.196937357	-2.492288639	0.996684805	4R	MO	Wetland_in_plot	Mineral_soil_wetland	Wetland	0.485331407	4R1MO	163.2984871	14.71807205	0.009932143	0.012635714	16	2.502407632	0.90255277	8	1.69374675	0.814520012	0.744270714	-0.932904195	0.212927937	1.524289004	-0.001358995	1.148879529	6.720000087	16.95708931	8.721059807	10.71216499	-1.505392821	19.08976059
4R2MO	0.193681655	74.76500044	1.069171639	14.56040639	-3.544715612	0.986418611	-0.346420178	-4.083702917	0.999617477	4R	MO	Wetland_in_plot	Mineral_soil_wetland	Wetland	0.156224107	4R2MO	13.78946409	3.059829893	0.003285714	0.006864286	9	1.663853352	0.757252294	7	1.713625093	0.880629095	0.369003093	-0.581084263	2.779454693	1.499853456	0.0448025	0.687842499	7.723233139	23.37300521	5.163928631	13.64665224	-1.749060343	23.99700082
4R3MO	0.815610448	42.22566136	0.230327622	2.682368877	2.080241672	0.956333567	-0.065478195	-1.347229486	0.999490186	4R	MO	Wetland_in_plot	Mineral_soil_wetland	Wetland	0.49752344	4R3MO	26.51964963	3.713068344	0.007832143	0.008053571	16	2.515444801	0.907254935	14	2.326335602	0.881502488	-0.276382171	-0.950557585	5.512990128	1.374685852	0.050990087	7.577193792	4.892878516	28.17634865	3.564127707	7.927593075	5.961202486	36.8579863
5G1MO	1.59289889	4.005679695	0.027332327	0.520093617	-4.085903564	0.876786932	-0.038649839	-1.934127774	0.963131861	5G	MO	Termite_grassland	Termite_grassland	Upland	0.15995351	5G1MO	6.417357925	0.104436491	0.001953571	0.004139286	9	1.925285481	0.876235184	3	0.54941567	0.500099694	0.445746197	-0.817551198	-0.090553246	1.219901349	0.073425673	-0.15396788	7.664950723	-47.23719199	-105.2063307	15.46100406	-8.895890325	-66.97860325
5G2MO	1.268807874	5.481816559	0.047320735	0.968628958	-3.076430621	0.924651541	-0.21740817	-3.356877911	0.99989208	5G	MO	Termite_grassland	Termite_grassland	Upland	0.133448023	5G2MO	NA	NA	0.000407143	NA	NA	NA	NA	2	0.685587329	0.98909344	NA	NA	NA	1.184650231	0.069895492	-0.109545898	NA	NA	NA	15.58049524	-9.827951249	-81.67998037
5G3MO	1.49597529	4.209624575	0.039921844	0.768168751	-3.931464245	0.987049724	-0.146729405	-5.028090327	0.999303362	5G	MO	Termite_grassland	Termite_grassland	Upland	0.144610075	5G3MO	8.1090452	1.3644812	7.00E-04	0.001275	4	1.281655674	0.924519143	2	0.351183251	0.506650334	0.322553696	-0.63129291	0.297550946	1.152981112	0.067048644	-0.09886281	6.144599511	-64.00889735	-135.7075081	18.57005571	-13.20746886	-132.4579645
5R2MO	0.315896047	37.72955544	0.750561339	14.63088013	-2.932017832	0.959494631	-0.150639454	-0.778339339	0.995263005	5R	MO	Forest_in_plot	Upland_forest	Upland	0.13531675	5R2MO	7.52923727	NA	NA	0.002946429	4	1.219625366	0.879773734	NA	NA	NA	0.274597583	-0.440514211	-0.177941573	NA	NA	NA	4.48423888	7.661254511	4.985969548	NA	NA	NA
5R3MO	0.326083961	13.82542836	0.335966733	6.434195246	-1.673622111	0.986863639	-0.03992884	-0.299934752	0.994960644	5R	MO	Forest_in_plot	Upland_forest	Upland	0.051408327	5R3MO	5.017121295	NA	NA	0.0018	5	1.518092947	0.943244182	NA	NA	NA	0.365703321	-0.609958069	-0.362966789	NA	NA	NA	4.576347825	6.557825698	4.363138264	NA	NA	NA
6R1MO	0.410962343	55.69226004	0.874002275	17.21632778	-3.643509222	0.995044375	-0.084248971	-1.376723177	0.975481085	6R	MO	Seasonally_wet_organic	Seasonally_wet_forest	Wetland	0.270882748	6R1MO	6.6721911	NA	NA	0.002314286	5	1.359594098	0.84476331	NA	NA	NA	0.359968957	-0.315857828	0.088235689	NA	NA	NA	4.708523924	9.438933322	5.835999066	NA	NA	NA
6R2MO	0.214627253	58.51797862	1.65562459	31.5860237	-1.74556032	0.962861259	-0.113395985	-2.560651969	0.984455146	6R	MO	Seasonally_wet_organic	Seasonally_wet_forest	Wetland	0.136664153	6R2MO	17.27020141	NA	NA	0.002578571	8	2.002732202	0.963110606	NA	NA	NA	0.457829509	-0.460184862	0.186355872	NA	NA	NA	4.582855867	9.11728599	6.626791735	NA	NA	NA
6R3MO	0.273917154	46.2035141	1.201178525	21.90048388	-1.88167534	0.992775831	-0.013780539	-0.119849367	0.964565299	6R	MO	Seasonally_wet_organic	Seasonally_wet_forest	Wetland	0.141149237	6R3MO	5.988504385	NA	NA	0.002903571	12	2.206050028	0.88777984	NA	NA	NA	0.620597067	-0.504916929	0.135765811	NA	NA	NA	5.696560067	10.5081635	7.964258966	NA	NA	NA
7G1MO	1.020670372	12.27620017	0.153284851	1.982510235	-3.885262965	0.891230175	-0.372883508	-4.267407965	0.99625754	7G	MO	Plantation	Plantation	Upland	0.203791651	7G1MO	7.56119186	1.813258042	0.001528571	0.005332143	6	1.63802712	0.914200342	5	1.508838121	0.937493835	0.46467864	-0.842884163	-0.442969251	1.47934201	0.100083004	-0.454599111	5.385216155	7.612396267	-0.144620782	10.25813768	-3.363896979	10.87197415
7G2MO	0.864615892	12.27917753	0.195670363	2.504768531	-7.086165627	0.968753314	-0.053454133	-0.697518615	0.977158969	7G	MO	Plantation	Plantation	Upland	0.157582034	7G2MO	10.49909656	1.92481622	0.002771429	0.017203571	12	2.217429259	0.892359179	6	1.496227851	0.835060663	0.561268009	-1.102359923	-0.423279069	1.489240138	0.099927775	-0.78266413	5.688738589	8.584934545	-1.499647571	10.50133415	-3.16633731	11.0617555
7G3MO	1.155276801	8.597062013	0.146138899	1.79219728	-9.152642824	0.990434715	-0.039682107	-0.589238865	0.845466894	7G	MO	Plantation	Plantation	Upland	0.176084533	7G3MO	10.6447524	1.603309068	0.001764286	0.014014286	13	2.044092487	0.796932883	4	1.201819415	0.866929455	0.611594858	-1.138089705	-0.886419587	1.348590092	0.087275571	-0.337781476	5.795777619	8.527327797	-1.382585992	11.29246466	-3.649140215	11.86136393
7R1MO	1.133263899	25.71293699	0.182800453	2.571605051	-1.518346404	0.999069637	-0.045657162	-3.170253762	0.999487	7R	MO	Oil_pipe_wetland	Mineral_soil_wetland	Wetland	0.509118162	7R1MO	81.49988555	3.475310392	0.003785714	0.007682143	10	1.839059793	0.79869352	10	1.991829819	0.865040699	0.497832568	-0.801777385	0.322307198	1.78765603	0.055196733	0.887430647	6.768549773	16.0870839	2.782299453	10.37205023	-1.812657541	16.92609377
7R2MO	1.258953707	17.85907012	0.105646195	1.189550027	-1.514170844	0.917410417	-0.09684849	-3.541713188	0.976665161	7R	MO	Oil_pipe_wetland	Mineral_soil_wetland	Wetland	0.428324478	7R2MO	40.84661719	14.20257258	0.010521429	0.005810714	12	2.24145362	0.902027294	13	2.025855851	0.789822943	0.737174846	-0.396626885	1.53394777	2.219724575	-0.000307566	-0.784681601	4.490720548	17.86333807	-0.019123802	9.39932268	1.684082411	19.13690087
7R3MO	0.504347383	52.14921926	0.760956567	11.07583657	-3.360264939	0.814699425	-0.073660194	-2.881508872	0.999253533	7R	MO	Oil_pipe_wetland	Mineral_soil_wetland	Wetland	0.324835919	7R3MO	29.97074888	4.904380917	0.002121429	0.002067857	3	0.866646095	0.788855271	3	1.01988236	0.92833693	0.361115846	-0.220181104	0.098648095	1.328543399	-0.038602108	0.583094079	5.135721845	8.75800868	5.292269703	10.18893624	-1.843769898	17.66419088
8G1MO	1.201405758	14.51600487	0.110807507	1.04791705	-5.474786503	0.710911742	-0.027552477	-0.476724769	0.991954984	8G	MO	Forest_near_plantation	Upland_forest	Upland	0.319033239	8G1MO	17.4382148	1.496154505	0.001732143	0.009892857	12	2.360203789	0.949815877	6	1.517109292	0.846714818	0.688332578	-1.34146312	-0.138350698	1.450797124	0.097783798	-0.487815537	6.070451802	7.301759672	-8.951094317	15.58604096	-5.73969784	8.261242633
8G2MO	0.877326004	11.29113186	0.214324344	2.28841785	-6.650367418	0.829331863	-0.018360316	-0.154295264	0.974837713	8G	MO	Forest_near_plantation	Upland_forest	Upland	0.148086504	8G2MO	16.27125405	1.896816004	0.001432143	0.008275	8	1.723363986	0.828762892	3	1.071352523	0.975187092	0.503130401	-0.908354153	-1.028624413	1.297964822	0.081349317	-0.630072997	5.072526079	5.815810259	-2.469080385	11.8440675	-3.79431849	8.750504534
8G3MO	1.534494139	10.58168789	0.082170511	0.68790355	-6.331999276	0.907435332	-0.043295443	-9.453584529	0.999283005	8G	MO	Forest_near_plantation	Upland_forest	Upland	0.385739576	8G3MO	33.370266	1.751093049	0.002421429	0.010742857	18	2.62811288	0.909264655	7	1.79744428	0.923703636	0.954390082	-1.971591553	0.241484934	1.626105504	0.114992347	-1.71583416	7.733390309	9.456664147	-13.61181319	13.48690988	-5.375258634	9.58129294
9G1MO	1.284397642	3.479339196	0.078448639	0.876078438	-2.253943773	0.965867768	-0.071144787	-0.647018943	0.999218624	9G	MO	Abandoned_plantation	Abandoned_plantation	Upland	0.086719724	9G1MO	3.214595676	0.007078751	0.001814286	0.007307143	11	2.181237759	0.909646799	6	1.737587587	0.969766097	0.569153413	-1.080664621	-0.160009	1.442684478	0.096324415	-0.384039273	6.096975698	6.42708162	-1.153684146	12.2080417	-3.845197025	10.89425286
9G2MO	1.230258465	5.959886249	0.117129621	1.60837125	-2.502341181	0.989754311	-0.295465198	-9.996380668	0.999876014	9G	MO	Abandoned_plantation	Abandoned_plantation	Upland	0.13685823	9G2MO	1.868125836	0.34940566	0.000392857	0.002807143	6	1.489093351	0.831078823	1	0	NA	0.347594836	-0.643945721	-0.0426899	1.097177871	0.063392807	-0.113778863	5.526772579	5.866217018	-0.585914428	11.85375427	-3.986420587	9.770890277
9G3MO	1.196832332	9.085344526	0.177919102	2.765123754	-4.530865367	0.997495948	-0.006954405	-0.08342251	0.943379632	9G	MO	Abandoned_plantation	Abandoned_plantation	Upland	0.198291848	9G3MO	2.503972361	NA	0.003192857	0.014085714	9	1.976025486	0.899327955	6	1.702559162	0.950216361	0.422720258	-0.791850157	0.025098233	1.414095266	0.093305214	-0.330459569	6.183558563	6.296684247	-0.973719189	12.60443326	-4.102974029	10.98337998
